Date,Pond,Survey,Tag
5/25/2016,A,7,9000 43000 101663
5/25/2016,A,7,9000 43000 101677
5/25/2016,A,7,9000 43000 101691
5/25/2016,A,7,9000 43000 101696
5/25/2016,A,7,9000 670000 61906
5/25/2016,A,7,9000 670000 61934
5/25/2016,A,7,9000 670000 61945
5/25/2016,A,7,9000 670000 61955
5/25/2016,A,7,9000 670000 61963
5/25/2016,A,7,9000 670000 61964
5/25/2016,A,7,9000 670000 61971
5/25/2016,A,7,9000 670000 61995
5/25/2016,A,7,9000 670000 61996
5/25/2016,A,7,9000 670000 63208
5/25/2016,A,7,9000 670000 63214
5/25/2016,A,7,9000 670000 63271
5/25/2016,A,7,9000 670000 63319
5/25/2016,A,7,9000 670000 63322
5/25/2016,A,7,9000 670000 63325
5/25/2016,A,7,9000 670000 63344
5/25/2016,A,7,9000 670000 63345
5/25/2016,A,7,9000 670000 63364
5/25/2016,A,7,9000 670000 63368
5/25/2016,A,7,9000 670000 63377
5/25/2016,A,7,9000 670000 63379
5/25/2016,A,7,9000 670000 63387
5/25/2016,A,7,9000 670000 63405
5/25/2016,A,7,9000 670000 63418
5/25/2016,A,7,9000 670000 63434
5/25/2016,A,7,9000 670000 63437
5/25/2016,A,7,9000 670000 63438
5/25/2016,A,7,9000 670000 63452
5/25/2016,A,7,9000 670000 63459
5/25/2016,A,7,9000 670000 63464
5/25/2016,A,7,9000 670000 63468
5/25/2016,A,7,9000 670000 63470
5/25/2016,A,7,9000 670000 63477
5/25/2016,A,7,9000 670000 63478
5/25/2016,A,7,9000 670000 63479
5/25/2016,A,7,9000 670000 63480
5/25/2016,A,7,9000 670000 63483
5/25/2016,A,7,9000 670000 63490
5/25/2016,A,7,9000 670000 63495
5/26/2016,A,8,9000 43000 101609
5/26/2016,A,8,9000 43000 101635
5/26/2016,A,8,9000 43000 101679
5/26/2016,A,8,9000 43000 101691
5/26/2016,A,8,9000 670000 61922
5/26/2016,A,8,9000 670000 61931
5/26/2016,A,8,9000 670000 61939
5/26/2016,A,8,9000 670000 61955
5/26/2016,A,8,9000 670000 61965
5/26/2016,A,8,9000 670000 61985
5/26/2016,A,8,9000 670000 61995
5/26/2016,A,8,9000 670000 63256
5/26/2016,A,8,9000 670000 63271
5/26/2016,A,8,9000 670000 63275
5/26/2016,A,8,9000 670000 63326
5/26/2016,A,8,9000 670000 63327
5/26/2016,A,8,9000 670000 63333
5/26/2016,A,8,9000 670000 63344
5/26/2016,A,8,9000 670000 63345
5/26/2016,A,8,9000 670000 63359
5/26/2016,A,8,9000 670000 63370
5/26/2016,A,8,9000 670000 63389
5/26/2016,A,8,9000 670000 63405
5/26/2016,A,8,9000 670000 63418
5/26/2016,A,8,9000 670000 63430
5/26/2016,A,8,9000 670000 63432
5/26/2016,A,8,9000 670000 63437
5/26/2016,A,8,9000 670000 63465
5/26/2016,A,8,9000 670000 63468
5/26/2016,A,8,9000 670000 63470
5/26/2016,A,8,9000 670000 63477
5/26/2016,A,8,9000 670000 63483
5/26/2016,A,8,9000 670000 63490
5/26/2016,A,8,9000 670000 63496
5/26/2016,A,8,9000 670000 63498
5/27/2016,A,9,9000 43000 101603
5/27/2016,A,9,9000 43000 101691
5/27/2016,A,9,9000 43000 101696
5/27/2016,A,9,9000 670000 61934
5/27/2016,A,9,9000 670000 61945
5/27/2016,A,9,9000 670000 61963
5/27/2016,A,9,9000 670000 61984
5/27/2016,A,9,9000 670000 61996
5/27/2016,A,9,9000 670000 63216
5/27/2016,A,9,9000 670000 63256
5/27/2016,A,9,9000 670000 63325
5/27/2016,A,9,9000 670000 63326
5/27/2016,A,9,9000 670000 63329
5/27/2016,A,9,9000 670000 63335
5/27/2016,A,9,9000 670000 63340
5/27/2016,A,9,9000 670000 63344
5/27/2016,A,9,9000 670000 63351
5/27/2016,A,9,9000 670000 63353
5/27/2016,A,9,9000 670000 63358
5/27/2016,A,9,9000 670000 63360
5/27/2016,A,9,9000 670000 63367
5/27/2016,A,9,9000 670000 63386
5/27/2016,A,9,9000 670000 63387
5/27/2016,A,9,9000 670000 63389
5/27/2016,A,9,9000 670000 63418
5/27/2016,A,9,9000 670000 63452
5/27/2016,A,9,9000 670000 63470
5/27/2016,A,9,9000 670000 63483
5/27/2016,A,9,9000 670000 63490
5/27/2016,A,9,9000 670000 63495
6/13/2016,A,10,1380348466    
6/13/2016,A,10,1380348482    
6/13/2016,A,10,1380348486    
6/13/2016,A,10,1380348496    
6/13/2016,A,10,1380348501    
6/13/2016,A,10,1380348523    
6/13/2016,A,10,9000 43000 101679
6/13/2016,A,10,9000 670000 63248
6/13/2016,A,10,9000 670000 63344
6/13/2016,A,10,9000 670000 63367
6/13/2016,A,10,9000 670000 63405
6/13/2016,A,10,9000 670000 63435
6/13/2016,A,10,9000 670000 63495
6/13/2016,A,10,9000 670000 63496
6/14/2016,A,11,1380348450    
6/14/2016,A,11,1380348458    
6/14/2016,A,11,1380348489    
6/14/2016,A,11,1380348492    
6/14/2016,A,11,1380348501    
6/14/2016,A,11,9000 670000 63377
6/14/2016,A,11,9000 670000 63405
6/14/2016,A,11,9000 670000 63434
6/14/2016,A,11,9000 670000 63441
6/14/2016,A,11,9000 670000 63491
6/14/2016,A,11,9000 670000 63495
6/15/2016,A,12,1380348460    
6/15/2016,A,12,1380348466    
6/15/2016,A,12,1380348474    
6/15/2016,A,12,1380348486    
6/15/2016,A,12,1380348496    
6/15/2016,A,12,1380348511    
6/15/2016,A,12,1380348518    
6/15/2016,A,12,1380348520    
6/15/2016,A,12,1380348527    
6/15/2016,A,12,9000 43000 101679
6/15/2016,A,12,9000 670000 61934
6/15/2016,A,12,9000 670000 61995
6/15/2016,A,12,9000 670000 63227
6/15/2016,A,12,9000 670000 63249
6/15/2016,A,12,9000 670000 63377
6/15/2016,A,12,9000 670000 63386
6/15/2016,A,12,9000 670000 63401
6/15/2016,A,12,9000 670000 63422
6/15/2016,A,12,9000 670000 63432
6/15/2016,A,12,9000 670000 63435
6/15/2016,A,12,9000 670000 63474
6/15/2016,A,12,9000 670000 63491
6/15/2016,A,12,9000 670000 63496
6/20/2016,A,13,1380348458    
6/20/2016,A,13,1380348486    
6/20/2016,A,13,1380348501    
6/20/2016,A,13,1380348518    
6/20/2016,A,13,1380348520    
6/20/2016,A,13,1380348523    
6/20/2016,A,13,9000 670000 61995
6/20/2016,A,13,9000 670000 63333
6/20/2016,A,13,9000 670000 63335
6/20/2016,A,13,9000 670000 63422
6/20/2016,A,13,9000 670000 63425
6/20/2016,A,13,9000 670000 63451
6/20/2016,A,13,9000 670000 63491
6/20/2016,A,13,9000 670000 63496
6/20/2016,A,13,982000362129963    
6/20/2016,A,13,982000365439042    
6/21/2016,A,14,1380348458    
6/21/2016,A,14,1380348460    
6/21/2016,A,14,1380348496    
6/21/2016,A,14,1380348501    
6/21/2016,A,14,1380348518    
6/21/2016,A,14,1380348523    
6/21/2016,A,14,1380348527    
6/21/2016,A,14,9000 670000 61922
6/21/2016,A,14,9000 670000 61965
6/21/2016,A,14,9000 670000 61995
6/21/2016,A,14,9000 670000 63216
6/21/2016,A,14,9000 670000 63360
6/21/2016,A,14,9000 670000 63386
6/21/2016,A,14,9000 670000 63401
6/21/2016,A,14,9000 670000 63430
6/21/2016,A,14,9000 670000 63461
6/21/2016,A,14,9000 670000 63464
6/21/2016,A,14,9000 670000 63474
6/21/2016,A,14,9000 670000 63491
6/21/2016,A,14,9000 670000 63496
6/21/2016,A,14,9000 670000 63498
6/21/2016,A,14,982000362129963    
6/21/2016,A,14,982000362129994    
6/21/2016,A,14,982000362130011    
6/21/2016,A,14,982000365439014    
6/21/2016,A,14,982000365439042    
6/22/2016,A,15,1380348501    
6/22/2016,A,15,1380348518    
6/22/2016,A,15,9000 670000 61995
6/22/2016,A,15,9000 670000 63248
6/22/2016,A,15,9000 670000 63386
6/22/2016,A,15,9000 670000 63432
6/22/2016,A,15,982000362129963    
6/22/2016,A,15,982000362129973    
5/26/2017,A,16,1380348511    
5/26/2017,A,16,1380348527    
5/26/2017,A,16,9000 43000 109394
5/26/2017,A,16,9000 43000 109397
5/26/2017,A,16,9000 43000 109398
5/26/2017,A,16,9000 43000 109400
5/26/2017,A,16,9000 43000 109410
5/26/2017,A,16,9000 43000 109413
5/26/2017,A,16,9000 43000 109414
5/26/2017,A,16,9000 43000 109421
5/26/2017,A,16,9000 43000 109447
5/26/2017,A,16,9000 43000 109449
5/26/2017,A,16,9000 43000 109451
5/26/2017,A,16,9000 43000 109452
5/26/2017,A,16,9000 43000 109459
5/26/2017,A,16,9000 43000 109471
5/26/2017,A,16,9000 43000 109481
5/26/2017,A,16,9000 43000 109608
5/26/2017,A,16,9000 670000 61965
5/26/2017,A,16,9000 670000 63345
5/26/2017,A,16,9000 670000 63358
5/26/2017,A,16,9000 670000 63422
5/26/2017,A,16,9000 670000 63432
5/26/2017,A,16,9000 670000 63434
5/26/2017,A,16,9000 670000 63435
5/26/2017,A,16,9000 670000 63451
5/26/2017,A,16,982000365439014    
5/27/2017,A,16,9000 43000 109395
5/27/2017,A,16,9000 43000 109422
5/27/2017,A,16,9000 43000 109425
5/27/2017,A,16,9000 43000 109429
5/27/2017,A,16,9000 43000 109432
5/27/2017,A,16,9000 43000 109434
5/27/2017,A,16,9000 43000 109439
5/27/2017,A,16,9000 43000 109440
5/27/2017,A,16,9000 43000 109441
5/27/2017,A,16,9000 43000 109466
5/27/2017,A,16,9000 43000 109474
5/27/2017,A,16,9000 43000 109477
5/27/2017,A,16,9000 670000 61964
5/27/2017,A,16,9000 670000 63271
6/5/2017,A,17,1380348466    
6/5/2017,A,17,1380348486    
6/5/2017,A,17,1380348511    
6/5/2017,A,17,9000 43000 109295
6/5/2017,A,17,9000 43000 109302
6/5/2017,A,17,9000 43000 109303
6/5/2017,A,17,9000 43000 109307
6/5/2017,A,17,9000 43000 109308
6/5/2017,A,17,9000 43000 109309
6/5/2017,A,17,9000 43000 109310
6/5/2017,A,17,9000 43000 109313
6/5/2017,A,17,9000 43000 109321
6/5/2017,A,17,9000 43000 109323
6/5/2017,A,17,9000 43000 109325
6/5/2017,A,17,9000 43000 109329
6/5/2017,A,17,9000 43000 109330
6/5/2017,A,17,9000 43000 109338
6/5/2017,A,17,9000 43000 109345
6/5/2017,A,17,9000 43000 109350
6/5/2017,A,17,9000 43000 109353
6/5/2017,A,17,9000 43000 109354
6/5/2017,A,17,9000 43000 109355
6/5/2017,A,17,9000 43000 109360
6/5/2017,A,17,9000 43000 109368
6/5/2017,A,17,9000 43000 109369
6/5/2017,A,17,9000 43000 109372
6/5/2017,A,17,9000 43000 109375
6/5/2017,A,17,9000 43000 109386
6/5/2017,A,17,9000 43000 109390
6/5/2017,A,17,9000 43000 109391
6/5/2017,A,17,9000 43000 109394
6/5/2017,A,17,9000 43000 109395
6/5/2017,A,17,9000 43000 109413
6/5/2017,A,17,9000 43000 109421
6/5/2017,A,17,9000 43000 109422
6/5/2017,A,17,9000 43000 109429
6/5/2017,A,17,9000 43000 109432
6/5/2017,A,17,9000 43000 109439
6/5/2017,A,17,9000 43000 109441
6/5/2017,A,17,9000 43000 109449
6/5/2017,A,17,9000 43000 109451
6/5/2017,A,17,9000 43000 109471
6/5/2017,A,17,9000 43000 109481
6/5/2017,A,17,9000 670000 63271
6/5/2017,A,17,9000 670000 63276
6/5/2017,A,17,9000 670000 63353
6/5/2017,A,17,9000 670000 63368
6/5/2017,A,17,9000 670000 63418
6/5/2017,A,17,9000 670000 63422
6/5/2017,A,17,9000 670000 63425
6/5/2017,A,17,9000 670000 63435
6/5/2017,A,17,9000 670000 63451
6/5/2017,A,17,9000 670000 63459
6/5/2017,A,17,9000 670000 63464
6/5/2017,A,17,9000 670000 63465
6/5/2017,A,17,9000 670000 63474
6/5/2017,A,17,9000 670000 63479
6/5/2017,A,17,9000 670000 63483
6/5/2017,A,17,982000362129963    
6/5/2017,A,17,982000362129973    
6/5/2017,A,17,982000362129994    
6/12/2017,A,18,1380348496    
6/12/2017,A,18,9000 43000 101691
6/12/2017,A,18,9000 43000 109231
6/12/2017,A,18,9000 43000 109245
6/12/2017,A,18,9000 43000 109248
6/12/2017,A,18,9000 43000 109254
6/12/2017,A,18,9000 43000 109256
6/12/2017,A,18,9000 43000 109258
6/12/2017,A,18,9000 43000 109267
6/12/2017,A,18,9000 43000 109307
6/12/2017,A,18,9000 43000 109350
6/12/2017,A,18,9000 43000 109368
6/12/2017,A,18,9000 43000 109390
6/12/2017,A,18,9000 43000 109391
6/12/2017,A,18,9000 43000 109421
6/12/2017,A,18,9000 43000 109447
6/12/2017,A,18,9000 43000 109452
6/12/2017,A,18,9000 43000 109471
6/12/2017,A,18,9000 670000 61965
6/12/2017,A,18,9000 670000 63327
6/12/2017,A,18,9000 670000 63430
6/12/2017,A,18,9000 670000 63451
6/12/2017,A,18,9000 670000 63496
6/12/2017,A,18,982000362129963    
6/12/2017,A,18,982000362129973    
6/12/2017,A,18,982000362130011    
6/19/2017,A,19,1380348458    
6/19/2017,A,19,1380348466    
6/19/2017,A,19,1380348486    
6/19/2017,A,19,1380348501    
6/19/2017,A,19,1380348523    
6/19/2017,A,19,9000 43000 101696
6/19/2017,A,19,9000 43000 109213
6/19/2017,A,19,9000 43000 109214
6/19/2017,A,19,9000 43000 109224
6/19/2017,A,19,9000 43000 109228
6/19/2017,A,19,9000 43000 109229
6/19/2017,A,19,9000 43000 109233
6/19/2017,A,19,9000 43000 109248
6/19/2017,A,19,9000 43000 109251
6/19/2017,A,19,9000 43000 109275
6/19/2017,A,19,9000 43000 109282
6/19/2017,A,19,9000 43000 109284
6/19/2017,A,19,9000 43000 109286
6/19/2017,A,19,9000 43000 109302
6/19/2017,A,19,9000 43000 109307
6/19/2017,A,19,9000 43000 109309
6/19/2017,A,19,9000 43000 109313
6/19/2017,A,19,9000 43000 109321
6/19/2017,A,19,9000 43000 109323
6/19/2017,A,19,9000 43000 109329
6/19/2017,A,19,9000 43000 109350
6/19/2017,A,19,9000 43000 109355
6/19/2017,A,19,9000 43000 109368
6/19/2017,A,19,9000 43000 109372
6/19/2017,A,19,9000 43000 109390
6/19/2017,A,19,9000 43000 109394
6/19/2017,A,19,9000 43000 109413
6/19/2017,A,19,9000 43000 109421
6/19/2017,A,19,9000 43000 109447
6/19/2017,A,19,9000 43000 109449
6/19/2017,A,19,9000 43000 109471
6/19/2017,A,19,9000 43000 109481
6/19/2017,A,19,9000 670000 61965
6/19/2017,A,19,9000 670000 61996
6/19/2017,A,19,9000 670000 63345
6/19/2017,A,19,9000 670000 63353
6/19/2017,A,19,9000 670000 63368
6/19/2017,A,19,9000 670000 63387
6/19/2017,A,19,9000 670000 63432
6/19/2017,A,19,9000 670000 63435
6/19/2017,A,19,9000 670000 63451
6/19/2017,A,19,9000 670000 63452
6/19/2017,A,19,9000 670000 63459
6/19/2017,A,19,9000 670000 63464
6/19/2017,A,19,9000 670000 63483
6/19/2017,A,19,9000 670000 63495
6/19/2017,A,19,9000 670000 63496
6/19/2017,A,19,982000362129963    
6/19/2017,A,19,982000362129973    
6/19/2017,A,19,982000362129994    
6/19/2017,A,19,982000362130011    
6/26/2017,A,20,1380348486    
6/26/2017,A,20,1380348511    
6/26/2017,A,20,9000 43000 109213
6/26/2017,A,20,9000 43000 109229
6/26/2017,A,20,9000 43000 109233
6/26/2017,A,20,9000 43000 109248
6/26/2017,A,20,9000 43000 109307
6/26/2017,A,20,9000 43000 109308
6/26/2017,A,20,9000 43000 109345
6/26/2017,A,20,9000 43000 109368
6/26/2017,A,20,9000 43000 109394
6/26/2017,A,20,9000 43000 109471
6/26/2017,A,20,9000 670000 63271
6/26/2017,A,20,9000 670000 63319
6/26/2017,A,20,9000 670000 63360
6/26/2017,A,20,9000 670000 63379
6/26/2017,A,20,9000 670000 63422
6/26/2017,A,20,9000 670000 63432
6/26/2017,A,20,9000 670000 63435
6/26/2017,A,20,9000 670000 63451
6/26/2017,A,20,9000 670000 63459
6/26/2017,A,20,9000 670000 63474
6/26/2017,A,20,982000362130011    
6/26/2017,A,20,982000362130013    
6/26/2017,A,20,982000365438986    
6/26/2017,A,20,982000365439031    
6/26/2017,A,20,982000365439060    
5/23/2018,A,22,9000 43000 109302
5/23/2018,A,22,9000 43000 109307
5/23/2018,A,22,9000 43000 109321
5/23/2018,A,22,9000 43000 109323
5/23/2018,A,22,9000 43000 109338
5/23/2018,A,22,9000 43000 109350
5/23/2018,A,22,9000 43000 109355
5/23/2018,A,22,9000 43000 109369
5/23/2018,A,22,9000 43000 109372
5/23/2018,A,22,9000 43000 109394
5/23/2018,A,22,9000 43000 109471
5/23/2018,A,22,9000 43000 162230
5/23/2018,A,22,9000 43000 162277
5/23/2018,A,22,9000 43000 162312
5/23/2018,A,22,9000 43000 162323
5/23/2018,A,22,9000 43000 162324
5/23/2018,A,22,9000 43000 162327
5/23/2018,A,22,9000 43000 162340
5/23/2018,A,22,9000 43000 162341
5/23/2018,A,22,9000 43000 162349
5/23/2018,A,22,9000 43000 162352
5/23/2018,A,22,9000 43000 162373
5/23/2018,A,22,9000 43000 162376
5/23/2018,A,22,9000 43000 162391
5/23/2018,A,22,9000 43000 162398
5/23/2018,A,22,9000 670000 63271
5/23/2018,A,22,9000 670000 63319
5/23/2018,A,22,9000 670000 63322
5/23/2018,A,22,9000 670000 63387
5/23/2018,A,22,982000362129963    
5/23/2018,A,22,982000362129973    
5/23/2018,A,22,982000362130011    
5/31/2018,A,23,1380348458    
5/31/2018,A,23,9000 43000 109295
5/31/2018,A,23,9000 43000 109302
5/31/2018,A,23,9000 43000 109308
5/31/2018,A,23,9000 43000 109323
5/31/2018,A,23,9000 43000 109338
5/31/2018,A,23,9000 43000 109345
5/31/2018,A,23,9000 43000 109350
5/31/2018,A,23,9000 43000 109353
5/31/2018,A,23,9000 43000 109355
5/31/2018,A,23,9000 43000 109369
5/31/2018,A,23,9000 43000 109386
5/31/2018,A,23,9000 43000 109390
5/31/2018,A,23,9000 43000 109394
5/31/2018,A,23,9000 43000 109439
5/31/2018,A,23,9000 43000 109451
5/31/2018,A,23,9000 43000 109471
5/31/2018,A,23,9000 43000 109477
5/31/2018,A,23,9000 43000 162202
5/31/2018,A,23,9000 43000 162302
5/31/2018,A,23,9000 43000 162312
5/31/2018,A,23,9000 43000 162318
5/31/2018,A,23,9000 43000 162323
5/31/2018,A,23,9000 43000 162327
5/31/2018,A,23,9000 43000 162333
5/31/2018,A,23,9000 43000 162341
5/31/2018,A,23,9000 43000 162349
5/31/2018,A,23,9000 43000 162357
5/31/2018,A,23,9000 43000 162372
5/31/2018,A,23,9000 43000 162375
5/31/2018,A,23,9000 43000 162379
5/31/2018,A,23,9000 43000 162380
5/31/2018,A,23,9000 43000 162386
5/31/2018,A,23,9000 43000 162398
5/31/2018,A,23,9000 670000 61964
5/31/2018,A,23,9000 670000 61965
5/31/2018,A,23,9000 670000 63319
5/31/2018,A,23,9000 670000 63322
5/31/2018,A,23,9000 670000 63353
5/31/2018,A,23,9000 670000 63435
5/31/2018,A,23,9000 670000 63452
5/31/2018,A,23,9000 670000 63459
5/31/2018,A,23,982000362129963    
5/31/2018,A,23,982000362129973    
5/31/2018,A,23,982000362130011    
5/31/2018,A,23,982000365439031    
6/11/2018,A,24,9000 43000 109256
6/11/2018,A,24,9000 43000 109302
6/11/2018,A,24,9000 43000 109308
6/11/2018,A,24,9000 43000 109350
6/11/2018,A,24,9000 43000 109355
6/11/2018,A,24,9000 43000 109368
6/11/2018,A,24,9000 43000 109413
6/11/2018,A,24,9000 43000 109451
6/11/2018,A,24,9000 43000 109471
6/11/2018,A,24,9000 43000 109477
6/11/2018,A,24,9000 43000 162213
6/11/2018,A,24,9000 43000 162275
6/11/2018,A,24,9000 43000 162333
6/11/2018,A,24,9000 43000 162357
6/11/2018,A,24,9000 43000 162376
6/11/2018,A,24,9000 670000 61965
6/11/2018,A,24,9000 670000 63435
6/11/2018,A,24,9000 670000 63464
6/11/2018,A,24,982000362129963    
6/11/2018,A,24,982000365438986    
6/13/2018,A,25,9000 43000 109302
6/13/2018,A,25,9000 43000 109323
6/13/2018,A,25,9000 43000 109350
6/13/2018,A,25,9000 43000 109355
6/13/2018,A,25,9000 43000 109394
6/13/2018,A,25,9000 43000 109413
6/13/2018,A,25,9000 43000 109432
6/13/2018,A,25,9000 43000 109451
6/13/2018,A,25,9000 43000 109471
6/13/2018,A,25,9000 43000 109477
6/13/2018,A,25,9000 43000 162053
6/13/2018,A,25,9000 43000 162086
6/13/2018,A,25,9000 43000 162236
6/13/2018,A,25,9000 43000 162275
6/13/2018,A,25,9000 43000 162327
6/13/2018,A,25,9000 43000 162333
6/13/2018,A,25,9000 43000 162352
6/13/2018,A,25,9000 43000 162376
6/13/2018,A,25,9000 43000 162380
6/13/2018,A,25,9000 43000 162386
6/13/2018,A,25,9000 670000 63271
6/13/2018,A,25,9000 670000 63358
6/13/2018,A,25,9000 670000 63435
6/13/2018,A,25,9000 670000 63464
6/13/2018,A,25,982000362129963    
6/13/2018,A,25,982000362129973    
6/13/2018,A,25,982000362129994    
6/13/2018,A,25,982000365438986    
6/20/2018,A,26,9000 43000 109323
6/20/2018,A,26,9000 43000 109350
6/20/2018,A,26,9000 43000 109394
6/20/2018,A,26,9000 43000 162053
6/20/2018,A,26,9000 43000 162206
6/20/2018,A,26,9000 43000 162212
6/20/2018,A,26,9000 43000 162225
6/20/2018,A,26,9000 43000 162284
6/20/2018,A,26,9000 670000 63271
6/20/2018,A,26,9000 670000 63319
6/20/2018,A,26,9000 670000 63358
6/20/2018,A,26,9000 670000 63435
6/20/2018,A,26,982000362129963    
6/20/2018,A,26,982000365438986    
5/26/2019,A,28,1380348466    
5/26/2019,A,28,9000 43000 109214
5/26/2019,A,28,9000 43000 109248
5/26/2019,A,28,9000 43000 109302
5/26/2019,A,28,9000 43000 109368
5/26/2019,A,28,9000 43000 109372
5/26/2019,A,28,9000 43000 109390
5/26/2019,A,28,9000 43000 109391
5/26/2019,A,28,9000 43000 109413
5/26/2019,A,28,9000 43000 109432
5/26/2019,A,28,9000 43000 109477
5/26/2019,A,28,9000 43000 162053
5/26/2019,A,28,9000 43000 162086
5/26/2019,A,28,9000 43000 162202
5/26/2019,A,28,9000 43000 162212
5/26/2019,A,28,9000 43000 162213
5/26/2019,A,28,9000 43000 162225
5/26/2019,A,28,9000 43000 162226
5/26/2019,A,28,9000 43000 162230
5/26/2019,A,28,9000 43000 162234
5/26/2019,A,28,9000 43000 162236
5/26/2019,A,28,9000 43000 162239
5/26/2019,A,28,9000 43000 162242
5/26/2019,A,28,9000 43000 162248
5/26/2019,A,28,9000 43000 162252
5/26/2019,A,28,9000 43000 162258
5/26/2019,A,28,9000 43000 162261
5/26/2019,A,28,9000 43000 162262
5/26/2019,A,28,9000 43000 162266
5/26/2019,A,28,9000 43000 162267
5/26/2019,A,28,9000 43000 162268
5/26/2019,A,28,9000 43000 162273
5/26/2019,A,28,9000 43000 162277
5/26/2019,A,28,9000 43000 162283
5/26/2019,A,28,9000 43000 162286
5/26/2019,A,28,9000 43000 162287
5/26/2019,A,28,9000 43000 162288
5/26/2019,A,28,9000 43000 162289
5/26/2019,A,28,9000 43000 162290
5/26/2019,A,28,9000 43000 162291
5/26/2019,A,28,9000 43000 162298
5/26/2019,A,28,9000 43000 162341
5/26/2019,A,28,9000 43000 162357
5/26/2019,A,28,9000 43000 162398
5/26/2019,A,28,9000 670000 63271
5/26/2019,A,28,982000362129973    
5/26/2019,A,28,982000362129994    
5/26/2019,A,28,982000362130011    
5/31/2019,A,29,9000 43000 109302
5/31/2019,A,29,9000 43000 109369
5/31/2019,A,29,9000 43000 109372
5/31/2019,A,29,9000 43000 109390
5/31/2019,A,29,9000 43000 109408
5/31/2019,A,29,9000 43000 162025
5/31/2019,A,29,9000 43000 162046
5/31/2019,A,29,9000 43000 162086
5/31/2019,A,29,9000 43000 162088
5/31/2019,A,29,9000 43000 162212
5/31/2019,A,29,9000 43000 162213
5/31/2019,A,29,9000 43000 162225
5/31/2019,A,29,9000 43000 162230
5/31/2019,A,29,9000 43000 162236
5/31/2019,A,29,9000 43000 162242
5/31/2019,A,29,9000 43000 162258
5/31/2019,A,29,9000 43000 162291
5/31/2019,A,29,9000 43000 162375
5/31/2019,A,29,9000 43000 162398
5/31/2019,A,29,9000 670000 61965
5/31/2019,A,29,9000 670000 63271
5/31/2019,A,29,9000 670000 63435
5/31/2019,A,29,982000362129963    
6/9/2019,A,30,9000 43000 109307
6/9/2019,A,30,9000 43000 109368
6/9/2019,A,30,9000 43000 162010
6/9/2019,A,30,9000 43000 162013
6/9/2019,A,30,9000 43000 162022
6/9/2019,A,30,9000 43000 162025
6/9/2019,A,30,9000 43000 162031
6/9/2019,A,30,9000 43000 162033
6/9/2019,A,30,9000 43000 162037
6/9/2019,A,30,9000 43000 162046
6/9/2019,A,30,9000 43000 162047
6/9/2019,A,30,9000 43000 162052
6/9/2019,A,30,9000 43000 162055
6/9/2019,A,30,9000 43000 162072
6/9/2019,A,30,9000 43000 162081
6/9/2019,A,30,9000 43000 162086
6/9/2019,A,30,9000 43000 162202
6/9/2019,A,30,9000 43000 162212
6/9/2019,A,30,9000 43000 162213
6/9/2019,A,30,9000 43000 162225
6/9/2019,A,30,9000 43000 162283
6/9/2019,A,30,9000 43000 162291
6/9/2019,A,30,9000 43000 162341
6/9/2019,A,30,9000 670000 61965
6/9/2019,A,30,9000 670000 63226
6/9/2019,A,30,9000 670000 63358
6/9/2019,A,30,9000 670000 63464
6/9/2019,A,30,982000362129994    
6/9/2019,A,30,982000365438986    
6/12/2019,A,31,1380348458    
6/12/2019,A,31,9000 43000 109231
6/12/2019,A,31,9000 43000 109307
6/12/2019,A,31,9000 43000 109308
6/12/2019,A,31,9000 43000 109368
6/12/2019,A,31,9000 43000 109390
6/12/2019,A,31,9000 43000 109391
6/12/2019,A,31,9000 43000 162001
6/12/2019,A,31,9000 43000 162010
6/12/2019,A,31,9000 43000 162014
6/12/2019,A,31,9000 43000 162025
6/12/2019,A,31,9000 43000 162033
6/12/2019,A,31,9000 43000 162037
6/12/2019,A,31,9000 43000 162042
6/12/2019,A,31,9000 43000 162047
6/12/2019,A,31,9000 43000 162052
6/12/2019,A,31,9000 43000 162053
6/12/2019,A,31,9000 43000 162055
6/12/2019,A,31,9000 43000 162062
6/12/2019,A,31,9000 43000 162065
6/12/2019,A,31,9000 43000 162072
6/12/2019,A,31,9000 43000 162079
6/12/2019,A,31,9000 43000 162080
6/12/2019,A,31,9000 43000 162081
6/12/2019,A,31,9000 43000 162088
6/12/2019,A,31,9000 43000 162212
6/12/2019,A,31,9000 43000 162213
6/12/2019,A,31,9000 43000 162225
6/12/2019,A,31,9000 43000 162239
6/12/2019,A,31,9000 43000 162248
6/12/2019,A,31,9000 43000 162261
6/12/2019,A,31,9000 43000 162267
6/12/2019,A,31,9000 43000 162283
6/12/2019,A,31,9000 43000 162287
6/12/2019,A,31,9000 43000 162298
6/12/2019,A,31,9000 43000 162340
6/12/2019,A,31,9000 43000 162341
6/12/2019,A,31,9000 43000 162357
6/12/2019,A,31,9000 43000 162398
6/12/2019,A,31,9000 670000 61965
6/12/2019,A,31,9000 670000 63226
6/12/2019,A,31,9000 670000 63418
6/12/2019,A,31,9000 670000 63435
6/12/2019,A,31,9000 670000 63459
6/12/2019,A,31,9000 670000 63464
6/12/2019,A,31,9000 670000 63479
6/12/2019,A,31,982000362129973    
6/12/2019,A,31,982000362129994    
6/12/2019,A,31,982000365438986    
6/18/2019,A,32,9000 43000 109413
6/18/2019,A,32,9000 43000 162014
6/18/2019,A,32,9000 43000 162022
6/18/2019,A,32,9000 43000 162033
6/18/2019,A,32,9000 43000 162042
